"~id","~labels","gloss","name","id","desc","attributes","classes","kind"
"4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:823","AttDef","anchored","anchored","anchored","indicates whether the copy text shows the exact place of reference for the note.",,,
"4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:824","AttDef","target end","targetEnd","targetEnd","points to the end of the span to which the note is attached, if the note is not embedded in the text at that point.",,,
"4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:825","AttDef",,"who","who","indicates the person, or group of people, to whom the element content is ascribed.",,,
"4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:826","AttDef",,"break","break","indicates whether or not the element bearing this attribute should be considered to mark the end of an orthographic token in the same way as whitespace.",,,
"4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:827","AttDef","canonical reference","cRef","cRef",,,,
"4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:828","AttDef",,"key","key","the identifier used for this datatype specification",,,
"4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:829","AttDef",,"ref","ref","a pointer to a datatype defined in some datatype library",,,
"4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:830","AttDef",,"unit","unit","provides a name for the kind of unit delimited by this punctuation mark.",,,
"4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:831","AttDef",,"from","from","gives the identifier of the node which is adjacent from this arc.",,,
"4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:832","AttDef",,"to","to","gives the identifier of the node which is adjacent to this arc.",,,
"4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:833","AttDef","generated by","generatedBy","generatedBy","categorizes how the content of an element was generated in a CMC environment.",,,
"4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:834","AttDef",,"when-custom","when-custom","supplies the value of a date or time in some custom standard form.",,,
"4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:835","AttDef",,"notBefore-custom","notBefore-custom","specifies the earliest possible date for the event in some custom standard form.",,,
"4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:836","AttDef",,"notAfter-custom","notAfter-custom","specifies the latest possible date for the event in some custom standard form.",,,
"4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:837","AttDef",,"from-custom","from-custom","indicates the starting point of the period in some custom standard form.",,,
"4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:838","AttDef",,"to-custom","to-custom","indicates the ending point of the period in some custom standard form.",,,
