"~start_node_id","~start_node_labels","~start_node_property_name","~start_node_property_id","~relationship_type","~end_node_id","~end_node_labels","~end_node_property_kind","~end_node_property_name","~end_node_property_gloss"
"4:13c24cab-0708-4375-8014-8513a8fd1335:182374","elementSpec","teiHeader","teiHeader","HAS_MODULE","4:13c24cab-0708-4375-8014-8513a8fd1335:183183","Module","header","header",
"4:13c24cab-0708-4375-8014-8513a8fd1335:182375","elementSpec","fileDesc","fileDesc","HAS_MODULE","4:13c24cab-0708-4375-8014-8513a8fd1335:183183","Module","header","header",
"4:13c24cab-0708-4375-8014-8513a8fd1335:182376","elementSpec","titleStmt","titleStmt","HAS_MODULE","4:13c24cab-0708-4375-8014-8513a8fd1335:183183","Module","header","header",
"4:13c24cab-0708-4375-8014-8513a8fd1335:182377","elementSpec","sponsor","sponsor","HAS_MODULE","4:13c24cab-0708-4375-8014-8513a8fd1335:183183","Module","header","header",
"4:13c24cab-0708-4375-8014-8513a8fd1335:182378","elementSpec","funder","funder","HAS_MODULE","4:13c24cab-0708-4375-8014-8513a8fd1335:183183","Module","header","header",
"4:13c24cab-0708-4375-8014-8513a8fd1335:182379","elementSpec","principal","principal","HAS_MODULE","4:13c24cab-0708-4375-8014-8513a8fd1335:183183","Module","header","header",
"4:13c24cab-0708-4375-8014-8513a8fd1335:182380","elementSpec","editionStmt","editionStmt","HAS_MODULE","4:13c24cab-0708-4375-8014-8513a8fd1335:183183","Module","header","header",
"4:13c24cab-0708-4375-8014-8513a8fd1335:182381","elementSpec","edition","edition","HAS_MODULE","4:13c24cab-0708-4375-8014-8513a8fd1335:183183","Module","header","header",
"4:13c24cab-0708-4375-8014-8513a8fd1335:182382","elementSpec","extent","extent","HAS_MODULE","4:13c24cab-0708-4375-8014-8513a8fd1335:183183","Module","header","header",
"4:13c24cab-0708-4375-8014-8513a8fd1335:182383","elementSpec","publicationStmt","publicationStmt","HAS_MODULE","4:13c24cab-0708-4375-8014-8513a8fd1335:183183","Module","header","header",
"4:13c24cab-0708-4375-8014-8513a8fd1335:182384","elementSpec","distributor","distributor","HAS_MODULE","4:13c24cab-0708-4375-8014-8513a8fd1335:183183","Module","header","header",
"4:13c24cab-0708-4375-8014-8513a8fd1335:182385","elementSpec","authority","authority","HAS_MODULE","4:13c24cab-0708-4375-8014-8513a8fd1335:183183","Module","header","header",
"4:13c24cab-0708-4375-8014-8513a8fd1335:182386","elementSpec","idno","idno","HAS_MODULE","4:13c24cab-0708-4375-8014-8513a8fd1335:183183","Module","header","header",
"4:13c24cab-0708-4375-8014-8513a8fd1335:182387","elementSpec","availability","availability","HAS_MODULE","4:13c24cab-0708-4375-8014-8513a8fd1335:183183","Module","header","header",
"4:13c24cab-0708-4375-8014-8513a8fd1335:182388","elementSpec","licence","licence","HAS_MODULE","4:13c24cab-0708-4375-8014-8513a8fd1335:183183","Module","header","header",
"4:13c24cab-0708-4375-8014-8513a8fd1335:182389","elementSpec","seriesStmt","seriesStmt","HAS_MODULE","4:13c24cab-0708-4375-8014-8513a8fd1335:183183","Module","header","header",
"4:13c24cab-0708-4375-8014-8513a8fd1335:182390","elementSpec","notesStmt","notesStmt","HAS_MODULE","4:13c24cab-0708-4375-8014-8513a8fd1335:183183","Module","header","header",
"4:13c24cab-0708-4375-8014-8513a8fd1335:182391","elementSpec","sourceDesc","sourceDesc","HAS_MODULE","4:13c24cab-0708-4375-8014-8513a8fd1335:183183","Module","header","header",
"4:13c24cab-0708-4375-8014-8513a8fd1335:182392","elementSpec","biblFull","biblFull","HAS_MODULE","4:13c24cab-0708-4375-8014-8513a8fd1335:183183","Module","header","header",
"4:13c24cab-0708-4375-8014-8513a8fd1335:182393","elementSpec","encodingDesc","encodingDesc","HAS_MODULE","4:13c24cab-0708-4375-8014-8513a8fd1335:183183","Module","header","header",
"4:13c24cab-0708-4375-8014-8513a8fd1335:182394","elementSpec","schemaRef","schemaRef","HAS_MODULE","4:13c24cab-0708-4375-8014-8513a8fd1335:183183","Module","header","header",
"4:13c24cab-0708-4375-8014-8513a8fd1335:182395","elementSpec","projectDesc","projectDesc","HAS_MODULE","4:13c24cab-0708-4375-8014-8513a8fd1335:183183","Module","header","header",
"4:13c24cab-0708-4375-8014-8513a8fd1335:182396","elementSpec","samplingDecl","samplingDecl","HAS_MODULE","4:13c24cab-0708-4375-8014-8513a8fd1335:183183","Module","header","header",
"4:13c24cab-0708-4375-8014-8513a8fd1335:182397","elementSpec","editorialDecl","editorialDecl","HAS_MODULE","4:13c24cab-0708-4375-8014-8513a8fd1335:183183","Module","header","header",
"4:13c24cab-0708-4375-8014-8513a8fd1335:182398","elementSpec","correction","correction","HAS_MODULE","4:13c24cab-0708-4375-8014-8513a8fd1335:183183","Module","header","header",
"4:13c24cab-0708-4375-8014-8513a8fd1335:182399","elementSpec","normalization","normalization","HAS_MODULE","4:13c24cab-0708-4375-8014-8513a8fd1335:183183","Module","header","header",
"4:13c24cab-0708-4375-8014-8513a8fd1335:182400","elementSpec","quotation","quotation","HAS_MODULE","4:13c24cab-0708-4375-8014-8513a8fd1335:183183","Module","header","header",
