"~id","~start_node_id","~end_node_id","~relationship_type"
"5:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:1152923703630103139","4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:611","4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:825","HAS_ATTRIBUTE"
"5:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:1152923703630103140","4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:612","4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:826","HAS_ATTRIBUTE"
"5:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:1152923703630103141","4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:613","4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:827","HAS_ATTRIBUTE"
"5:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:6917531226664338236","4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:614","4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:828","HAS_ATTRIBUTE"
"5:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:6917531226664338237","4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:614","4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:829","HAS_ATTRIBUTE"
"5:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:1152923703630103143","4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:615","4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:830","HAS_ATTRIBUTE"
"5:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:1155175503443788391","4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:615","4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:831","HAS_ATTRIBUTE"
"5:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:1157427303257473639","4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:615","4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:832","HAS_ATTRIBUTE"
"5:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:6917531226664338241","4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:616","4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:833","HAS_ATTRIBUTE"
"5:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:1152923703630103145","4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:617","4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:834","HAS_ATTRIBUTE"
"5:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:1155175503443788393","4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:617","4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:835","HAS_ATTRIBUTE"
"5:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:1157427303257473641","4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:617","4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:836","HAS_ATTRIBUTE"
"5:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:1159679103071158889","4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:617","4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:837","HAS_ATTRIBUTE"
"5:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:1161930902884844137","4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:617","4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:838","HAS_ATTRIBUTE"
