"~id","~labels","name","chapterName","type","id","kind","gloss"
"4:13c24cab-0708-4375-8014-8513a8fd1335:8","chapter","About These Guidelines","About These Guidelines",,,,
"4:13c24cab-0708-4375-8014-8513a8fd1335:9","chapter","A Gentle Introduction to XML","A Gentle Introduction to XML",,,,
"4:13c24cab-0708-4375-8014-8513a8fd1335:10","chapter","Characters, Glyphs, and Writing Modes","Characters, Glyphs, and Writing Modes",,,,
"4:13c24cab-0708-4375-8014-8513a8fd1335:11","chapter","Verse","Verse",,,,
"4:13c24cab-0708-4375-8014-8513a8fd1335:12","chapter","Non-hierarchical Structures","Non-hierarchical Structures",,,,
"4:13c24cab-0708-4375-8014-8513a8fd1335:13","chapter","Using the TEI","Using the TEI",,,,
"4:13c24cab-0708-4375-8014-8513a8fd1335:14","chapter","Model Classes","Model Classes",,,,
"4:13c24cab-0708-4375-8014-8513a8fd1335:15","chapter","Attribute Classes","Attribute Classes",,,,
"4:13c24cab-0708-4375-8014-8513a8fd1335:16","chapter","Elements","Elements",,,,
"4:13c24cab-0708-4375-8014-8513a8fd1335:17","chapter","Attributes","Attributes",,,,
"4:13c24cab-0708-4375-8014-8513a8fd1335:18","chapter","Datatypes and Other Macros","Datatypes and Other Macros",,,,
"4:13c24cab-0708-4375-8014-8513a8fd1335:19","chapter","Deprecations","Deprecations",,,,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182275","Section",,,"front",,,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182276","Section",,,"body",,,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182277","Section",,,"back",,,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182283","Chapter","Colophon",,"div",,,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182374","elementSpec","teiHeader",,,"teiHeader",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182375","elementSpec","fileDesc",,,"fileDesc",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182376","elementSpec","titleStmt",,,"titleStmt",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182377","elementSpec","sponsor",,,"sponsor",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182378","elementSpec","funder",,,"funder",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182379","elementSpec","principal",,,"principal",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182380","elementSpec","editionStmt",,,"editionStmt",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182381","elementSpec","edition",,,"edition",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182382","elementSpec","extent",,,"extent",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182383","elementSpec","publicationStmt",,,"publicationStmt",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182384","elementSpec","distributor",,,"distributor",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182385","elementSpec","authority",,,"authority",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182386","elementSpec","idno",,,"idno",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182387","elementSpec","availability",,,"availability",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182388","elementSpec","licence",,,"licence",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182389","elementSpec","seriesStmt",,,"seriesStmt",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182390","elementSpec","notesStmt",,,"notesStmt",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182391","elementSpec","sourceDesc",,,"sourceDesc",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182392","elementSpec","biblFull",,,"biblFull",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182393","elementSpec","encodingDesc",,,"encodingDesc",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182394","elementSpec","schemaRef",,,"schemaRef",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182395","elementSpec","projectDesc",,,"projectDesc",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182396","elementSpec","samplingDecl",,,"samplingDecl",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182397","elementSpec","editorialDecl",,,"editorialDecl",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182398","elementSpec","correction",,,"correction",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182399","elementSpec","normalization",,,"normalization",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182400","elementSpec","quotation",,,"quotation",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182401","elementSpec","hyphenation",,,"hyphenation",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182402","elementSpec","segmentation",,,"segmentation",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182403","elementSpec","stdVals",,,"stdVals",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182404","elementSpec","interpretation",,,"interpretation",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182405","elementSpec","punctuation",,,"punctuation",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182406","elementSpec","tagsDecl",,,"tagsDecl",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182407","elementSpec","tagUsage",,,"tagUsage",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182408","elementSpec","namespace",,,"namespace",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182409","elementSpec","rendition",,,"rendition",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182410","elementSpec","styleDefDecl",,,"styleDefDecl",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182411","elementSpec","refsDecl",,,"refsDecl",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182412","elementSpec","citeStructure",,,"citeStructure",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182413","elementSpec","citeData",,,"citeData",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182414","elementSpec","cRefPattern",,,"cRefPattern",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182415","elementSpec","prefixDef",,,"prefixDef",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182416","elementSpec","listPrefixDef",,,"listPrefixDef",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182417","elementSpec","refState",,,"refState",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182418","elementSpec","classDecl",,,"classDecl",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182419","elementSpec","taxonomy",,,"taxonomy",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182420","elementSpec","category",,,"category",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182421","elementSpec","catDesc",,,"catDesc",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182422","elementSpec","geoDecl",,,"geoDecl",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182423","elementSpec","unitDecl",,,"unitDecl",,
