"~start_node_id","~start_node_labels","~start_node_property_name","~start_node_property_attributes","~start_node_property_id","~relationship_type","~end_node_id","~end_node_labels","~end_node_property_name","~end_node_property_id","~end_node_property_desc","~start_node_property_desc","~end_node_property_gloss","~start_node_property_gloss","~start_node_property_classes","~end_node_property_attributes","~end_node_property_kind"
"4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:611","ClassSpec","att.ascribed","['who']","att.ascribed","HAS_ATTRIBUTE","4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:825","AttDef","who","who","indicates the person, or group of people, to whom the element content is ascribed.",,,,,,
"4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:612","ClassSpec","att.breaking","['break']","att.breaking","HAS_ATTRIBUTE","4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:826","AttDef","break","break","indicates whether or not the element bearing this attribute should be considered to mark the end of an orthographic token in the same way as whitespace.","provides attributes to indicate whether or not the element concerned is considered to mark the end of an orthographic token in the same way as whitespace.",,,,,
"4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:613","ClassSpec","att.cReferencing","['cRef']","att.cReferencing","HAS_ATTRIBUTE","4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:827","AttDef","cRef","cRef",,,"canonical reference",,,,
"4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:614","ClassSpec","att.canonical","['key','ref']","att.canonical","HAS_ATTRIBUTE","4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:828","AttDef","key","key","the identifier used for this datatype specification","provides attributes that can be used to associate a representation such as a name or title with canonical information about the object being named or referenced.",,,,,
"4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:614","ClassSpec","att.canonical","['key','ref']","att.canonical","HAS_ATTRIBUTE","4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:829","AttDef","ref","ref","a pointer to a datatype defined in some datatype library","provides attributes that can be used to associate a representation such as a name or title with canonical information about the object being named or referenced.",,,,,
"4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:615","ClassSpec","att.citing","['unit','from','to']","att.citing","HAS_ATTRIBUTE","4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:830","AttDef","unit","unit","provides a name for the kind of unit delimited by this punctuation mark.","provides attributes for specifying the specific part of a bibliographic item being cited.",,,,,
"4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:615","ClassSpec","att.citing","['unit','from','to']","att.citing","HAS_ATTRIBUTE","4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:831","AttDef","from","from","gives the identifier of the node which is adjacent from this arc.","provides attributes for specifying the specific part of a bibliographic item being cited.",,,,,
"4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:615","ClassSpec","att.citing","['unit','from','to']","att.citing","HAS_ATTRIBUTE","4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:832","AttDef","to","to","gives the identifier of the node which is adjacent to this arc.","provides attributes for specifying the specific part of a bibliographic item being cited.",,,,,
"4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:616","ClassSpec","att.cmc","['generatedBy']","att.cmc","HAS_ATTRIBUTE","4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:833","AttDef","generatedBy","generatedBy","categorizes how the content of an element was generated in a CMC environment.",,"generated by",,,,
"4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:617","ClassSpec","att.datable.custom","['when-custom','notBefore-custom','notAfter-custom','from-custom','to-custom','datingPoint','datingMethod']","att.datable.custom","HAS_ATTRIBUTE","4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:834","AttDef","when-custom","when-custom","supplies the value of a date or time in some custom standard form.","provides attributes for normalization of elements that contain datable events to a custom dating system (i.e. other than the Gregorian used by W3 and ISO).",,,,,
