"~start_node_id","~start_node_labels","~start_node_property_name","~start_node_property_id","~relationship_type","~end_node_id","~end_node_labels","~end_node_property_name","~end_node_property_Relates-To","~end_node_property_id","~end_node_property_Citation","~end_node_property_Specs","~end_node_property_Paragraphs","~start_node_property_Relates-To","~start_node_property_Citation","~start_node_property_Specs","~start_node_property_Paragraphs","~start_node_property_type","~start_node_property_filename","~start_node_property_timestamp","~end_node_property_type"
"4:7856e765-51e7-420d-bd24-570ba6669a83:28","Chapter","Transcriptions of Speech","TS","HAS_SECTION","4:7856e765-51e7-420d-bd24-570ba6669a83:54","Section","Elements Unique to Spoken Texts","['TSBAUT','TSBAWR','HD53','TS-BIBL-4','TSBAUT','NDPERSE','TSBAPA','TSBAVO','TSSA','CCAS']","TSBA","Unpack BIB cites here","nf:specPuller() coming here","['The following elements characterize spoken texts','transcribed according to these Guidelines: The u element may appear directly within a spoken text','and may contain any of the others; the others may also appear directly (for example','a vocal may appear between two utterances) but cannot contain a u element. In terms of the basic TEI model','therefore','we regard the u element as analogous to a paragraph','and the others as analogous to phrase elements','but with the important difference that they can exist either as siblings or as children of utterances. The class model.divPart.spoken provides the u element; the class model.global.spoken provides the six other elements listed above.As members of the att.ascribed class','all of these elements share the following attributes: As members of the att.typed','att.timed and att.duration classes','all of these elements except shift share the following attribute: Each of these elements is further discussed and specified in sections TSBAUT (Utterances) to TSBAWR (Writing) . We can show the relationship between four of these constituents of speech using the features eventive','communicative','anthropophonic (for sounds produced by the human vocal apparatus)','and lexical: eventive communicative anthropophonic lexical incident + - - - kinesic + + - - vocal + + + - utterance + + + + The differences are not always clear-cut. Among incidents might be included actions like slamming the door','which can certainly be communicative. Vocals include coughing and sneezing','which are vocal events in transcription of speech usually involuntary noises. Equally','the distinction between utterances and vocals is not always clear','although for many analytic purposes it will be convenient to regard them as distinct. Individual scholars may differ in the way borderlines are drawn and should declare their definitions in the editorialDecl element of the header (see HD53 (The Editorial Practices Declaration) ). The following short extract exemplifies several of these elements. It is recoded from a text originally transcribed in the CHILDES format.The original is a conversation between two children and their parents','recorded in 1987','and discussed in TS-BIBL-4 () Each utterance is encoded using a u element (see section TSBAUT (Utterances) ). The speakers are defined using the listPerson element discussed in NDPERSE (The Person Element) and each is given a unique identifier also used to identify their speech. Pauses marked by the transcriber are indicated using the pause element (see section TSBAPA (Pausing) ). Non-verbal vocal effects such as the child's meowing are indicated either with orthographic transcriptions or with the vocal element','and entirely non-linguistic but significant incidents such as the sound of the toy cat are represented by the incident elements (see section TSBAVO (Vocal','Kinesic','Incident) ). you never take this cat for show and tell meow meow yeah well I dont want to toy cat has bell in tail which continues to make a tinkling sound meows because it is so old how bout about your cat yours is new shows Father the cat thats darling no mine isnt old mine is just um a little dirty This example also uses some elements common to all TEI texts','notably the reg tag for editorial regularization. Unusually stressed syllables have been encoded with the emph element. The seg element has also been used to segment the last utterance. Further discussion of all of such options is provided in section TSSA (Elements Defined Elsewhere) . Contextual information is of particular importance in spoken texts','and should be provided by the TEI header of a text. In general','all of the information in a header is understood to be relevant to the whole of the associated text. The element u as a member of the att.declaring class','may however specify a different context by means of the decls attribute (see further section CCAS (Associating Contextual Information with a Text) ).']",,,,,,,,
"4:7856e765-51e7-420d-bd24-570ba6669a83:233","Chapter","Dictionaries","DI","HAS_SECTION","4:7856e765-51e7-420d-bd24-570ba6669a83:57","Section","The Structure of Dictionary Entries","['DIENGP','DITP','DIENHI']","DIEN","Unpack BIB cites here","nf:specPuller() coming here","['A simple dictionary entry may contain information about the form of the word treated','its grammatical characterization','its definition','synonyms','or translation equivalents','its etymology','cross-references to other entries','usage information','and examples. These we refer to as the constituent parts or constituents of the entry; some dictionary constituents possess no internal structure','while others are most naturally viewed as groups of smaller elements','which may be marked in their own right. In some styles of markup','tags will be applied only to the low-level items','leaving the constituent groups which contain them untagged. We distinguish the class of top-level constituents of dictionary entries','which can occur directly within the entry element','from the class of phrase-level constituents','which can normally occur only within top-level constituents. The top-level constituents of dictionary entries are described in section DIENGP (Groups and Constituents) ','and documented more fully','together with their phrase-level sub-constituents','in section DITP (Top-level Constituents of Entries) . In addition','however','dictionary entries often have a complex hierarchical structure. For example','an entry may consist of two or more sub-parts','each corresponding to information for a different part-of-speech homograph of the headword. The entry (or part-of-speech homographs','if the entry is split this way) may also consist of senses','each of which may in turn be composed of two or more sub-senses','etc. Each sub-part','homograph entry','sense','or sub-sense we call a level; at any level in an entry','any or all of the constituent parts of dictionary entries may appear. The hierarchical levels of dictionary entries are documented in section DIENHI (Hierarchical Levels) .']",,,,,,,,
"4:7856e765-51e7-420d-bd24-570ba6669a83:234","Chapter","Manuscript Description","MS","HAS_SECTION","4:7856e765-51e7-420d-bd24-570ba6669a83:60","Section","Phrase-level Elements","['CO']","msphrase","Unpack BIB cites here","nf:specPuller() coming here","['When the msdescription module is in use','several extra elements are added to the phrase level class','and thus become available within paragraphs and elsewhere in the document. These elements are listed below in alphabetical order: Within a manuscript description','many other standard TEI phrase level elements are available','notably those described in the Core module (CO (Elements Available in All TEI Documents) ). Additional elements of particular relevance to manuscript description','such as those for names and dates','may also be made available by including the relevant module in one's schema.']",,,,,,,,
"4:7856e765-51e7-420d-bd24-570ba6669a83:236","Chapter","Critical Apparatus","TC","HAS_SECTION","4:7856e765-51e7-420d-bd24-570ba6669a83:62","Section","The Apparatus Entry, Readings, and Witnesses","['TCAPEN','TCAPLR','TCAPSU','TCAPLW','TCAPMI','COEDCOR']","TCAPLL","Unpack BIB cites here","nf:specPuller() coming here","['This section introduces the fundamental markup methods used to encode textual variations: the app element for entries in the critical apparatus: see section TCAPEN (The Apparatus Entry) . elements for identifying individual readings: see section TCAPLR (Readings) . ways of grouping readings together: see section TCAPSU (Indicating Subvariation in Apparatus Entries) . methods of identifying which witnesses support a particular reading','and for describing the witnesses included in the apparatus: see section TCAPLW (Witness Information) . elements for indicating which portions of a text are covered by fragmentary witnesses: see section TCAPMI (Fragmentary Witnesses) . The app element is in one sense a more sophisticated and complex version of the choice element introduced in COEDCOR (Apparent Errors) as a way of marking points where the encoding of a passage in a single source may be carried out in more than one way. Unlike choice','however','the app element allows for the representation of many different versions of the same passage taken from different sources.']",,,,,,,,
"4:7856e765-51e7-420d-bd24-570ba6669a83:237","Chapter","Names, Dates, People, and Places","ND","HAS_SECTION","4:7856e765-51e7-420d-bd24-570ba6669a83:63","Section","Biographical and Prosopographical Data","['NDPERSE']","NDPERS","Unpack BIB cites here","nf:specPuller() coming here","['This module defines a number of special purpose elements which can be used to markup biographical','historical','and prosopographical data. We envisage a number of users and uses for these elements. For example','an encoder may be interested in creating or converting a set of biographical records of the type found in a Dictionary of National Biography. Another use is the creation or conversion of a database-like collection of information about a group of people','such as the people referenced in a marked-up collection of documents','or persons who have served as informants in the creation of spoken corpora. It is also appropriate to use these elements to register information relating to those who have taken part in the creation of a TEI document.To cater for this diversity','these Guidelines propose a flexible strategy','in which encoders may choose for themselves the approach appropriate to their needs. If one were interested','for example','in converting existing DNB-type records','and wanted to preserve the text as is','the person element (see NDPERSE (The Person Element) ) could simply contain the text of an article','placed within p elements','possibly using elements such as name or date to mark up features of that text. For a more structured entry','however','one would extract the data and place information contained in the text','and encode it directly using the more specific elements described in this section.']",,,,,,,,
"4:7856e765-51e7-420d-bd24-570ba6669a83:238","Chapter","Tables, Formulæ, Graphics, and Notated Music","FT","HAS_SECTION","4:7856e765-51e7-420d-bd24-570ba6669a83:540","Section","Tables","['FTTAB2']","FTTAB","Unpack BIB cites here","nf:specPuller() coming here","['A table is the least graphic of the elements discussed in this chapter. Almost any text structure can be presented as a series of rows and columns: one might','for example','choose to show a glossary or other form of list in tabular form','without necessarily regarding it as a table. In such cases','the global rend attribute is an appropriate way of indicating that some element is being presented in tabular format; similarly','the global style attribute coud be used to provide an appropriate display property in CSS. When tabular presentation is regarded as of less intrinsic importance','it is correspondingly simpler to encode descriptive or functional information about the contents of the table','for example to identify one cell as containing a name and another as containing a date','though the two methods may be combined. When','however','particular elements are required to encode the tabular arrangement itself','then one or other of the various table schemas now available may be preferable. The schemas in common use generally view a table as a special text element','made up of row elements','themselves composed of cells. Table cells generally appear in row-major order','with the first row from left to right','then the second row','and so on. Details of appearance such as column widths','border lines','and alignment are generally encoded by numerous attributes. Beyond this','however','such schemas differ greatly. This section begins by describing a table schema of this kind; a brief summary of some other widely available table schemas is also provided in section FTTAB2 (Other Table Schemas) .']",,,,,,,,
"4:7856e765-51e7-420d-bd24-570ba6669a83:239","Chapter","Language Corpora","CC","HAS_SECTION","4:7856e765-51e7-420d-bd24-570ba6669a83:542","Section","Contextual Information","['HD','CCAS','HD','HD2','HD5','HD4','HD6','HD','HD4']","CCAH","Unpack BIB cites here","nf:specPuller() coming here","['Contextual information is of particular importance for collections or corpora composed of samples from a variety of different kinds of text. Examples of such contextual information include: the age','sex','and geographical origins of participants in a language interaction','or their socio-economic status; the cost and publication data of a newspaper; the topic','register or factuality of an extract from a textbook. Such information may be of the first importance','whether as an organizing principle in creating a corpus (for example','to ensure that the range of values in such a parameter is evenly represented throughout the corpus','or represented proportionately to the population being sampled)','or as a selection criterion in analysing the corpus (for example','to investigate the language usage of some particular vector of social characteristics).Such contextual information is potentially of equal importance for unitary texts','and these Guidelines accordingly make no particular distinction between the kinds of information which should be gathered for unitary and for composite texts. In either case','the information should be recorded in the appropriate section of a TEI header','as described in chapter HD (The TEI Header) . In the case of language corpora','such information may be gathered together in the overall corpus header','or split across all the component texts of a corpus','in their individual headers','or divided between the two. The association between an individual corpus text and the contextual information applicable to it may be made in a number of ways','as further discussed in section CCAS (Associating Contextual Information with a Text) below.Chapter HD (The TEI Header) ','which should be read in conjunction with the present section','describes in full the range of elements available for the encoding of information relating to the electronic file itself','for example its bibliographic description and those of the source or sources from which it was derived (see section HD2 (The File Description) ); information about the encoding practices followed with the corpus','for example its design principles','editorial practices','reference system','etc. (see section HD5 (The Encoding Description) ); more detailed descriptive information about the creation and content of the corpus','such as the languages used within it and any descriptive classification system used (see section HD4 (The Profile Description) ); and version information documenting any changes made in the electronic text (see section HD6 (The Revision Description) ).In addition to the elements defined by chapter HD (The TEI Header) ','several other elements can be used in the TEI header if the additional module defined by this chapter is invoked. These additional tags make it possible to characterize the social or other situation within which a language interaction takes place or is experienced','the physical setting of a language interaction','and the participants in it. Though this information may be relevant to','and provided for','unitary texts as well as for collections or corpora','it is more often recorded for the components of systematically developed corpora than for isolated texts','and thus this module is referred to as being for language corpora.When the module defined in this chapter is included in a schema','a number of additional elements become available within the profileDesc element of the TEI header (discussed in section HD4 (The Profile Description) ). These elements','members of the model.profileDescPart','are discussed in the remainder of the chapter.']",,,,,,,,
"4:7856e765-51e7-420d-bd24-570ba6669a83:240","Chapter","Linking, Segmentation, and Alignment","SA","HAS_SECTION","4:7856e765-51e7-420d-bd24-570ba6669a83:549","Section","Correspondence and Alignment","['SAPT','SASY']","SACS","Unpack BIB cites here","nf:specPuller() coming here","['In this section we introduce the notions of correspondence','expressed by the corresp attribute','and of alignment','which is a special kind of correspondence involving an ordered set of correspondences. Both cases may be represented using the link and linkGrp elements introduced in section SAPT (Links) . We also discuss the special case of alignment in time or synchronization','for which special purpose elements are proposed in section SASY (Synchronization) .']",,,,,,,,
"4:7856e765-51e7-420d-bd24-570ba6669a83:241","Chapter","Simple Analytic Mechanisms","AI","HAS_SECTION","4:7856e765-51e7-420d-bd24-570ba6669a83:551","Section","Linguistic Annotation","['CO','DS','VE','DR','TS','DI','CC','HD','CCAH','HD53','CCAS']","AILA","Unpack BIB cites here","nf:specPuller() coming here","['By linguistic annotation we mean here any annotation determined by an analysis of linguistic features of the text','excluding as borderline cases both the formal structural properties of the text (e.g. its division into chapters or paragraphs) and descriptive information about its context (the circumstances of its production','its genre or medium). The structural properties of any TEI-conformant text should be represented using the structural elements discussed elsewhere in this chapter and in chapters CO (Elements Available in All TEI Documents) ','DS (Default Text Structure) ','VE (Verse) ','DR (Performance Texts) ','TS (Transcriptions of Speech) ','DI (Dictionaries) ','and CC (Language Corpora) . The contextual properties of a TEI text are fully documented in the TEI header','which is discussed in chapter HD (The TEI Header) ','and in section CCAH (Contextual Information) . Other forms of linguistic annotation may be applied at a number of levels in a text. A code (such as a word-class or part-of-speech code) may be associated with each word or token','or with groups of such tokens','which may be continuous','discontinuous','or nested. A code may also be associated with relationships (such as cohesion) perceived as existing between distinct parts of a text. The codes themselves may stand for discrete and non-decomposable categories','or they may represent highly articulated bundles of textual features. Their function may be to place the annotated part of the text somewhere within a narrowly linguistic or discoursal domain of analysis','or within a more general semantic field','or any combination drawn from these and other domains. The manner by which such annotations are generated and attached to the text may be entirely automatic','entirely manual or a mixture. The ease and accuracy with which analysis may be automated may vary with the level at which the annotation is attached. The method employed should be documented in the interpretation element within the encoding description of the TEI header','as described in section HD53 (The Editorial Practices Declaration) . Where different parts of a language corpus have used different annotation methods','the decls attribute may be used to indicate the fact','as further discussed in section CCAS (Associating Contextual Information with a Text) .']",,,,,,,,
"4:7856e765-51e7-420d-bd24-570ba6669a83:242","Chapter","Feature Structures","FS","HAS_SECTION","4:7856e765-51e7-420d-bd24-570ba6669a83:552","Section","Feature System Declaration","['FS','FS-BIBL-01']","FD","Unpack BIB cites here","nf:specPuller() coming here","['The Feature System Declaration (FSD) is intended for use in conjunction with a TEI-conforming text that makes use of fs (that is','feature structure) elements. The FSD serves three purposes: the encoder can list all of the feature names and feature values and give a prose description as to what each represents. the encoder can define what it means to be a well-formed feature structure','and define constraints which may be used to determine whether a particular feature structure is valid relative to a given theory stated in typed feature logic. These may involve constraints on the range of a feature value','constraints on what features are valid within certain types of feature structures','or constraints that prevent the co-occurrence of certain feature-value pairs. the encoder can define the intended interpretation of underspecified feature structures. This involves defining default values (whether literal or computed) for missing features. The scheme described in this chapter may be used to document any feature structure system','but is primarily intended for use with the feature structure representation defined by the ISO 24610-1:2006 standard','which corresponds with the recommendations presented in these Guidelines','FS (Feature Structures) . This chapter relies upon','but does not reproduce','formal definitions and descriptions presented more thoroughly in the ISO standard','which should be consulted in case of ambiguity or uncertainty. The FSD serves an important function in documenting precisely what the encoder intended by the system of feature structure markup used in an XML-encoded text. The FSD is also an important resource which standardizes the rules of inference used by software to validate the feature structure markup in a text','and to infer the full interpretation of underspecified feature structures.The reader should be aware the terminology used in this document does not always closely follow conventional practice in formal logic','and may also diverge from practice in some linguistic applications of typed feature structures. In particular','the term interpretation when applied to a feature structure is not an interpretation in the model-theoretic sense','but is instead a minimally informative (or equivalently','most general) extension of that feature structure that is consistent with a set of constraints declared by an FSD. In linguistic application','such a system of constraints is the principal means by which the grammar of some natural language is expressed. There is a great deal of disagreement as to what','if any','model-theoretic interpretation feature structures have in such applications','but the status of this formal kind of interpretation is not germane to the present document. Similarly','the term valid is used here as elsewhere in these Guidelines to identify the syntactic state of well-formedness in the sense defined by the logic of typed feature structures itself','as distinct from and in addition to the well-formedness that pertains at the level of this encoding standard. No appeal to any notion from formal semantics should be inferred. We begin by describing how an encoded text is associated with one or more feature system declarations. The second','third','and fourth sections describe the overall structure of a feature system declaration and give details of how to encode its components. The final section offers a full example; fuller discussion of the reasoning behind FSDs and another complete example are provided in FS-BIBL-01 () .']",,,,,,,,
