"~id","~start_node_id","~end_node_id","~relationship_type"
"5:7856e765-51e7-420d-bd24-570ba6669a83:1152921504606847004","4:7856e765-51e7-420d-bd24-570ba6669a83:28","4:7856e765-51e7-420d-bd24-570ba6669a83:54","HAS_SECTION"
"5:7856e765-51e7-420d-bd24-570ba6669a83:1152921504606847209","4:7856e765-51e7-420d-bd24-570ba6669a83:233","4:7856e765-51e7-420d-bd24-570ba6669a83:57","HAS_SECTION"
"5:7856e765-51e7-420d-bd24-570ba6669a83:1152921504606847210","4:7856e765-51e7-420d-bd24-570ba6669a83:234","4:7856e765-51e7-420d-bd24-570ba6669a83:60","HAS_SECTION"
"5:7856e765-51e7-420d-bd24-570ba6669a83:1152921504606847212","4:7856e765-51e7-420d-bd24-570ba6669a83:236","4:7856e765-51e7-420d-bd24-570ba6669a83:62","HAS_SECTION"
"5:7856e765-51e7-420d-bd24-570ba6669a83:1152921504606847213","4:7856e765-51e7-420d-bd24-570ba6669a83:237","4:7856e765-51e7-420d-bd24-570ba6669a83:63","HAS_SECTION"
"5:7856e765-51e7-420d-bd24-570ba6669a83:1152921504606847214","4:7856e765-51e7-420d-bd24-570ba6669a83:238","4:7856e765-51e7-420d-bd24-570ba6669a83:540","HAS_SECTION"
"5:7856e765-51e7-420d-bd24-570ba6669a83:1152921504606847215","4:7856e765-51e7-420d-bd24-570ba6669a83:239","4:7856e765-51e7-420d-bd24-570ba6669a83:542","HAS_SECTION"
"5:7856e765-51e7-420d-bd24-570ba6669a83:1152921504606847216","4:7856e765-51e7-420d-bd24-570ba6669a83:240","4:7856e765-51e7-420d-bd24-570ba6669a83:549","HAS_SECTION"
"5:7856e765-51e7-420d-bd24-570ba6669a83:1152921504606847217","4:7856e765-51e7-420d-bd24-570ba6669a83:241","4:7856e765-51e7-420d-bd24-570ba6669a83:551","HAS_SECTION"
"5:7856e765-51e7-420d-bd24-570ba6669a83:1152921504606847218","4:7856e765-51e7-420d-bd24-570ba6669a83:242","4:7856e765-51e7-420d-bd24-570ba6669a83:552","HAS_SECTION"
